"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1612","Navigation from login page to registration page","LMS system","Mon Dec 29 14:06:25 UTC 2025","passed","Mon Dec 29 14:06:26 UTC 2025","Authorization","Authentication","",""
"","2637","Create course","LMS system","Mon Dec 29 14:06:29 UTC 2025","passed","Mon Dec 29 14:06:31 UTC 2025","Courses","Courses","",""
"","2193","User login with wrong email or password","LMS system","Mon Dec 29 14:06:03 UTC 2025","passed","Mon Dec 29 14:06:06 UTC 2025","Authorization","Authentication","",""
"","0","test_logout","tests.pytest","Mon Dec 29 14:06:55 UTC 2025","passed","Mon Dec 29 14:06:55 UTC 2025","TestUserAuthentication","test_markers","",""
"","3900","Edit course","LMS system","Mon Dec 29 14:06:47 UTC 2025","passed","Mon Dec 29 14:06:51 UTC 2025","Courses","Courses","",""
"","2130","Check displaying of dashboard page","LMS system","Mon Dec 29 14:06:54 UTC 2025","passed","Mon Dec 29 14:06:56 UTC 2025","Dashboard","Dashboard","",""
"","2333","Check displaying of dashboard page","LMS system","Mon Dec 29 14:06:52 UTC 2025","passed","Mon Dec 29 14:06:54 UTC 2025","Dashboard","Dashboard","",""
"","4142","Create course","LMS system","Mon Dec 29 14:06:32 UTC 2025","passed","Mon Dec 29 14:06:36 UTC 2025","Courses","Courses","",""
"","1779","User login with wrong email or password","LMS system","Mon Dec 29 14:05:55 UTC 2025","passed","Mon Dec 29 14:05:57 UTC 2025","Authorization","Authentication","",""
"","2112","User login with wrong email or password","LMS system","Mon Dec 29 14:06:03 UTC 2025","passed","Mon Dec 29 14:06:05 UTC 2025","Authorization","Authentication","",""
"","0","test_forgot_password_link","tests.pytest","Mon Dec 29 14:06:55 UTC 2025","passed","Mon Dec 29 14:06:55 UTC 2025","TestUserInterface","test_markers","",""
"","2161","Check displaying of empty courses list","LMS system","Mon Dec 29 14:06:38 UTC 2025","passed","Mon Dec 29 14:06:40 UTC 2025","Courses","Courses","",""
"","0","test_login","tests.pytest","Mon Dec 29 14:06:56 UTC 2025","passed","Mon Dec 29 14:06:56 UTC 2025","TestUserAuthentication","test_markers","",""
"","1","test_regression_case","tests.pytest","Mon Dec 29 14:06:55 UTC 2025","passed","Mon Dec 29 14:06:55 UTC 2025","","test_markers","",""
"","3193","Create course","LMS system","Mon Dec 29 14:06:38 UTC 2025","passed","Mon Dec 29 14:06:41 UTC 2025","Courses","Courses","",""
"","3683","User login with correct email and password","LMS system","Mon Dec 29 14:06:06 UTC 2025","passed","Mon Dec 29 14:06:10 UTC 2025","Authorization","Authentication","",""
"","1","test_password_reset","tests.pytest","Mon Dec 29 14:06:55 UTC 2025","passed","Mon Dec 29 14:06:55 UTC 2025","TestUserAuthentication","test_markers","",""
"","1758","Check displaying of empty courses list","LMS system","Mon Dec 29 14:06:34 UTC 2025","passed","Mon Dec 29 14:06:36 UTC 2025","Courses","Courses","",""
"","3195","Check displaying of empty courses list","LMS system","Mon Dec 29 14:06:30 UTC 2025","passed","Mon Dec 29 14:06:34 UTC 2025","Courses","Courses","",""
"","2604","User login with wrong email or password","LMS system","Mon Dec 29 14:05:59 UTC 2025","passed","Mon Dec 29 14:06:02 UTC 2025","Authorization","Authentication","",""
"","2257","Registration with correct email, username and password","LMS system","Mon Dec 29 14:06:15 UTC 2025","passed","Mon Dec 29 14:06:18 UTC 2025","Registration","Authentication","",""
"","1661","User login with wrong email or password","LMS system","Mon Dec 29 14:05:53 UTC 2025","passed","Mon Dec 29 14:05:55 UTC 2025","Authorization","Authentication","",""
"","4221","User login with correct email and password","LMS system","Mon Dec 29 14:06:19 UTC 2025","passed","Mon Dec 29 14:06:23 UTC 2025","Authorization","Authentication","",""
"","3676","Registration with correct email, username and password","LMS system","Mon Dec 29 14:06:18 UTC 2025","passed","Mon Dec 29 14:06:22 UTC 2025","Registration","Authentication","",""
"","2043","Check displaying of dashboard page","LMS system","Mon Dec 29 14:06:49 UTC 2025","passed","Mon Dec 29 14:06:52 UTC 2025","Dashboard","Dashboard","",""
"","2323","Registration with correct email, username and password","LMS system","Mon Dec 29 14:06:24 UTC 2025","passed","Mon Dec 29 14:06:26 UTC 2025","Registration","Authentication","",""
"","1578","User login with wrong email or password","LMS system","Mon Dec 29 14:05:57 UTC 2025","passed","Mon Dec 29 14:05:59 UTC 2025","Authorization","Authentication","",""
"","2641","User login with wrong email or password","LMS system","Mon Dec 29 14:05:56 UTC 2025","passed","Mon Dec 29 14:05:59 UTC 2025","Authorization","Authentication","",""
"","0","test_critical_login","tests.pytest","Mon Dec 29 14:06:55 UTC 2025","passed","Mon Dec 29 14:06:55 UTC 2025","","test_markers","",""
"","3361","Edit course","LMS system","Mon Dec 29 14:06:41 UTC 2025","passed","Mon Dec 29 14:06:44 UTC 2025","Courses","Courses","",""
"","6800","User login with correct email and password","LMS system","Mon Dec 29 14:06:11 UTC 2025","passed","Mon Dec 29 14:06:18 UTC 2025","Authorization","Authentication","",""
"","2388","User login with wrong email or password","LMS system","Mon Dec 29 14:06:07 UTC 2025","passed","Mon Dec 29 14:06:10 UTC 2025","Authorization","Authentication","",""
"","2504","User login with wrong email or password","LMS system","Mon Dec 29 14:06:00 UTC 2025","passed","Mon Dec 29 14:06:02 UTC 2025","Authorization","Authentication","",""
"","2121","Navigation from login page to registration page","LMS system","Mon Dec 29 14:06:12 UTC 2025","passed","Mon Dec 29 14:06:14 UTC 2025","Authorization","Authentication","",""
"","6106","Edit course","LMS system","Mon Dec 29 14:06:43 UTC 2025","passed","Mon Dec 29 14:06:49 UTC 2025","Courses","Courses","",""
"","1776","Navigation from login page to registration page","LMS system","Mon Dec 29 14:06:27 UTC 2025","passed","Mon Dec 29 14:06:28 UTC 2025","Authorization","Authentication","",""
